Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ZGOl9zm6D9RdA3j5QruhR,"0CKa42Jqrc9fSFbDjePaXP,4WE5a7bSjZ1IDwwSIuW3YM","Miss Georgia Fornia (feat. Joi)","4eva Is A Mighty Long Time","Big K.R.I.T.,Joi",2017-10-27,360666,24,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:50Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.584,0.755,9,-4.867,0,0.175,0.255,0.0000178,0.107,0.176,104.156,4
0z638U1VacQDqKIkXq30i7,"0CKa42Jqrc9fSFbDjePaXP","Everlasting","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,203494,25,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:50Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.552,0.72,6,-6.229,0,0.315,0.439,0.00000424,0.0888,0.829,94.151,4
0XMtJELwYVRDtv8KhFLE6P,"0CKa42Jqrc9fSFbDjePaXP,6AVLthptCPhfrxlHadOBJD","Higher Calling (feat. Jill Scott)","4eva Is A Mighty Long Time","Big K.R.I.T.,Jill Scott",2017-10-27,233853,28,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:51Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap,hip pop,neo soul,quiet storm,r&b,urban contemporary",0.774,0.871,10,-4.551,0,0.103,0.0665,0.00362,0.139,0.735,155.984,4
089VS0BGo8D1g74Srow3Qp,"0CKa42Jqrc9fSFbDjePaXP","Price of Fame","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,254360,28,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:51Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.726,0.697,6,-7.389,0,0.304,0.138,0.00000432,0.0905,0.427,79.951,4
7F65C7BUlu2xLGofCXyg1F,"0CKa42Jqrc9fSFbDjePaXP,2OVBIgG0o9KYLsQIlFNZky","Drinking Sessions (feat. Keyon Harrold)","4eva Is A Mighty Long Time","Big K.R.I.T.,Kenyon Harrold",2017-10-27,311625,30,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:51Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.514,0.717,9,-5.987,0,0.248,0.212,0,0.169,0.329,140.946,4
6ou2CVXylmagKvH9OiLQUD,"0CKa42Jqrc9fSFbDjePaXP","Bury Me In Gold","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,264519,30,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:52Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.525,0.772,9,-5.313,1,0.0763,0.0245,0.00000468,0.108,0.439,97.928,4
1PQFWKf0P2aPrCMh3yvz59,"0CKa42Jqrc9fSFbDjePaXP","86","It's Better This Way","Big K.R.I.T.",2021-08-13,239970,21,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:52Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.726,0.642,0,-7.028,1,0.0823,0.00126,0,0.117,0.393,134.044,4
3z0oGegdilNokKYPXjLrqo,"2Xu7q46Hf02xOoEIm4E1Qs,6DJEUXZm0e2rAohdoZ5Voo","Super Lyrical (feat. Black Thought Of The Roots)","Capital Punishment","Big Pun,Black Thought",1998-04-28,208226,39,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:52Z,"bronx hip hop,east coast hip hop,hardcore hip hop,alternative hip hop",0.772,0.857,6,-5.816,0,0.394,0.0958,0.0000206,0.0577,0.714,90.547,4
3zTwulnxiddG0SbIr8ESr0,"1bulNj9KHvx8haqJBFDSyz,5dn7xGQoUgrn8gjVNjC99S,2wQR86xNE8mkPaffnClYAj","Honest Expression (feat. Senim Silla & One Be Lo)","Masters of the Universe","Binary Star,Senim Silla,One Be Lo",2000-10-31,300226,30,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:53Z,"alternative hip hop,conscious hip hop,underground rap",0.733,0.813,1,-7.707,1,0.275,0.0296,0,0.2,0.412,98.904,4
3dNfkFWsoYKxo2mCT81m0O,"1bulNj9KHvx8haqJBFDSyz,2wQR86xNE8mkPaffnClYAj,6fYjyxt76rlTv7n0B0iTDb","Evolution of Man (feat. One Be Lo & Brenda J)","Masters of the Universe","Binary Star,One Be Lo,Brenda J",2000-10-31,362894,13,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:53Z,"alternative hip hop,conscious hip hop,underground rap",0.508,0.626,4,-11.153,0,0.265,0.283,0.0000107,0.244,0.441,84.671,4
66YJddDOMyb9oj7vqI9CqU,"1bulNj9KHvx8haqJBFDSyz,0Df5gzL6quFRUanH7J8yNe,5hFUdo03JPEWYkusqTwjiX,2wQR86xNE8mkPaffnClYAj","Reality Check","Masters of the Universe","Binary Star,Senim,Onemanarmy,One Be Lo",2017-06-02,241394,41,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:54Z,"alternative hip hop,conscious hip hop,underground rap",0.712,0.483,11,-12.122,0,0.298,0.208,0,0.655,0.717,90.1,4
2G665l0cf1llZYa9Xbk6Hg,"07d5etnpjriczFBB8pxmRe","Good Luv'n","Pineapple Now-Laters","BJ The Chicago Kid",2012-02-21,229059,32,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:54Z,"alternative r&b,chicago rap",0.682,0.456,9,-5.626,1,0.143,0.358,0.00000505,0.319,0.6,81.024,4
6MHLpeI7BETuvC9umQqMYt,"77zgRkcehIGCAtROXkXkb3","You Like to Risk It All/Things Will Never Be","Fever","Black Milk",2018-08-10,214566,11,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:55Z,"alternative hip hop,detroit hip hop,instrumental hip hop",0.817,0.725,0,-6.068,0,0.0595,0.00314,0.000336,0.111,0.961,150.127,4
